id_transacao,valor,data_hora,localizacao,dispositivo,meio_pagamento,score_risco,fraude
1,469.27,2025-02-10 19:26:48,Londres,Mobile,Cartão Crédito,0.29,0
2,3010.12,2025-01-23 13:58:22,Tóquio,Desktop,Cartão Débito,0.61,0
3,1316.75,2025-01-12 16:44:09,Curitiba,Mobile,PIX,0.1,0
4,912.94,2025-02-11 19:49:25,Nova York,Tablet,Cartão Débito,0.33,0
5,169.62,2025-02-01 23:40:22,São Paulo,Mobile,Boleto,0.11,0
6,169.6,2025-01-14 05:33:43,Nova York,Tablet,Cartão Débito,0.22,0
7,59.84,2025-05-20 11:34:34,Tóquio,Desktop,Cartão Crédito,0.4,0
8,2011.23,2025-06-16 21:39:55,Tóquio,Mobile,Boleto,0.53,0
9,919.08,2025-06-02 14:39:57,São Paulo,Tablet,Cartão Crédito,0.09,0
10,1231.25,2025-03-30 12:44:37,Rio de Janeiro,Mobile,PIX,0.24,0
11,20.8,2025-05-03 07:51:24,São Paulo,Desktop,Cartão Crédito,0.18,0
12,3503.56,2025-02-13 22:26:07,Londres,Mobile,Cartão Crédito,0.59,0
13,1786.43,2025-03-29 20:19:13,Curitiba,Desktop,Cartão Débito,0.28,0
14,238.69,2025-04-10 14:04:26,Rio de Janeiro,Desktop,Cartão Crédito,0.15,0
15,200.68,2025-04-23 08:15:15,São Paulo,Desktop,Boleto,0.15,0
16,202.61,2025-02-26 09:31:30,Nova York,Desktop,Boleto,0.33,0
17,362.75,2025-04-26 14:00:39,Rio de Janeiro,Mobile,PIX,0.06,0
18,743.93,2025-04-29 05:30:40,Rio de Janeiro,Mobile,Boleto,0.19,0
19,565.54,2025-06-15 02:26:50,São Paulo,Mobile,Cartão Débito,0.22,0
20,344.22,2025-04-04 07:24:28,Rio de Janeiro,Mobile,PIX,0.19,0
21,946.37,2025-01-14 11:00:24,Nova York,Desktop,Boleto,0.51,0
22,150.23,2025-02-26 05:05:42,Tóquio,Mobile,Cartão Débito,0.23,0
23,345.52,2025-02-17 00:27:42,Rio de Janeiro,Tablet,Boleto,0.08,0
24,456.28,2025-04-28 00:56:24,Tóquio,Desktop,Boleto,0.4,0
25,608.93,2025-02-14 08:02:06,Nova York,Desktop,Cartão Crédito,0.39,0
26,1537.94,2025-05-13 01:50:40,São Paulo,Mobile,Boleto,0.22,0
27,222.74,2025-01-05 20:03:45,Curitiba,Desktop,Boleto,0.22,0
28,722.03,2025-02-12 09:38:26,Rio de Janeiro,Tablet,Cartão Débito,0.12,0
29,897.5,2025-01-04 07:14:35,Curitiba,Mobile,Cartão Débito,0.14,0
30,47.56,2025-01-16 18:12:44,Nova York,Desktop,Cartão Crédito,0.47,0
31,935.33,2025-05-17 04:45:36,Rio de Janeiro,Desktop,Boleto,0.33,0
32,186.96,2025-02-11 00:01:18,Tóquio,Mobile,Cartão Crédito,0.28,0
33,67.26,2025-02-09 02:06:47,Londres,Mobile,Boleto,0.39,0
34,2973.69,2025-04-27 11:42:28,Curitiba,Mobile,PIX,0.41,0
35,3370.63,2025-03-07 20:56:05,Rio de Janeiro,Mobile,PIX,0.31,0
36,1652.33,2025-01-31 09:03:48,Curitiba,Mobile,Cartão Crédito,0.19,0
37,363.29,2025-02-18 04:28:42,Rio de Janeiro,Mobile,Cartão Crédito,0.13,0
38,102.78,2025-02-26 16:46:13,São Paulo,Mobile,Cartão Crédito,0.2,0
39,1152.75,2025-02-12 20:46:12,Tóquio,Mobile,Cartão Débito,0.46,0
40,580.09,2025-01-25 04:08:56,Curitiba,Tablet,Cartão Débito,0.06,0
41,130.15,2025-02-06 13:08:03,Londres,Mobile,Cartão Débito,0.29,0
42,683.55,2025-05-14 02:24:01,Londres,Tablet,Cartão Crédito,0.36,0
43,34.99,2025-04-15 23:00:12,Nova York,Mobile,Boleto,0.3,0
44,2400.42,2025-05-18 16:43:44,Rio de Janeiro,Mobile,PIX,0.22,0
45,299.46,2025-03-06 18:10:32,Curitiba,Mobile,Cartão Crédito,0.19,0
46,1086.26,2025-05-02 03:42:33,Nova York,Mobile,Cartão Débito,0.42,0
47,373.55,2025-01-13 17:36:31,Curitiba,Mobile,Cartão Débito,0.2,0
48,734.11,2025-04-04 12:53:14,Rio de Janeiro,Desktop,Cartão Crédito,0.33,0
49,791.22,2025-04-05 03:05:27,Londres,Mobile,Cartão Crédito,0.41,0
50,204.39,2025-04-13 08:56:35,São Paulo,Desktop,Cartão Débito,0.2,0
51,3492.81,2025-05-01 05:00:07,Londres,Desktop,Boleto,0.68,0
52,1492.25,2025-04-14 17:30:51,Nova York,Mobile,Cartão Débito,0.34,0
53,2805.09,2025-05-11 17:55:39,Tóquio,Mobile,Cartão Débito,0.54,0
54,2252.15,2025-03-01 13:26:46,São Paulo,Desktop,Cartão Crédito,0.3,0
55,911.05,2025-01-01 09:24:06,Nova York,Mobile,Boleto,0.41,0
56,2549.44,2025-04-07 09:04:52,Rio de Janeiro,Mobile,Cartão Débito,0.23,0
