id_transacao,valor,data_hora,localizacao,dispositivo,meio_pagamento,score_risco,fraude
1,469.27,2025-01-06 16:01:34.587213,Londres,Mobile,Cartão Crédito,0.29,0
2,3010.12,2025-02-19 22:36:48.720787,Tóquio,Desktop,Cartão Débito,0.61,1
3,1316.75,2025-01-08 23:27:42.785829,Curitiba,Mobile,PIX,0.1,0
4,912.94,2025-03-28 14:32:00.092092,Nova York,Tablet,Cartão Débito,0.33,0
5,169.62,2025-03-17 19:33:08.366858,São Paulo,Mobile,Boleto,0.11,0
6,169.6,2025-04-25 03:32:44.995727,Nova York,Tablet,Cartão Débito,0.22,0
7,59.84,2025-04-17 21:41:28.472427,Tóquio,Desktop,Cartão Crédito,0.4,0
8,2011.23,2025-02-01 06:04:19.627505,Tóquio,Mobile,Boleto,0.53,1
9,919.08,2025-05-24 08:36:01.896209,São Paulo,Tablet,Cartão Crédito,0.09,0
10,1231.25,2025-01-24 16:27:25.814298,Rio de Janeiro,Mobile,PIX,0.24,0
11,20.8,2025-04-08 01:45:29.992947,São Paulo,Desktop,Cartão Crédito,0.18,0
12,3503.56,2025-05-28 05:10:00.104677,Londres,Mobile,Cartão Crédito,0.59,1
13,1786.43,2025-02-20 08:40:45.036200,Curitiba,Desktop,Cartão Débito,0.28,0
14,238.69,2025-05-26 10:24:10.802190,Rio de Janeiro,Desktop,Cartão Crédito,0.15,0
15,200.68,2025-03-06 07:32:20.329041,São Paulo,Desktop,Boleto,0.15,0
16,202.61,2025-01-26 23:49:29.187251,Nova York,Desktop,Boleto,0.33,0
17,362.75,2025-01-15 21:05:11.604538,Rio de Janeiro,Mobile,PIX,0.06,0
18,743.93,2025-04-26 16:28:15.430400,Rio de Janeiro,Mobile,Boleto,0.19,0
19,565.54,2025-05-27 23:27:41.591260,São Paulo,Mobile,Cartão Débito,0.22,0
20,344.22,2025-03-09 09:06:38.524888,Rio de Janeiro,Mobile,PIX,0.19,0
21,946.37,2025-01-28 08:03:22.112903,Nova York,Desktop,Boleto,0.51,1
22,150.23,2025-04-21 04:00:04.438267,Tóquio,Mobile,Cartão Débito,0.23,0
23,345.52,2025-04-26 13:12:29.748824,Rio de Janeiro,Tablet,Boleto,0.08,0
24,456.28,2025-03-31 03:21:12.733464,Tóquio,Desktop,Boleto,0.4,0
25,608.93,2025-04-01 23:42:34.903824,Nova York,Desktop,Cartão Crédito,0.39,0
26,1537.94,2025-03-06 00:02:18.703029,São Paulo,Mobile,Boleto,0.22,0
27,222.74,2025-03-10 07:29:12.513240,Curitiba,Desktop,Boleto,0.22,0
28,722.03,2025-02-05 11:41:09.020288,Rio de Janeiro,Tablet,Cartão Débito,0.12,0
29,897.5,2025-04-04 02:05:03.677775,Curitiba,Mobile,Cartão Débito,0.14,0
30,47.56,2025-02-15 21:46:21.602823,Nova York,Desktop,Cartão Crédito,0.47,0
31,935.33,2025-06-07 09:35:07.494580,Rio de Janeiro,Desktop,Boleto,0.33,0
32,186.96,2025-06-07 01:12:34.555051,Tóquio,Mobile,Cartão Crédito,0.28,0
33,67.26,2025-03-07 08:58:34.472582,Londres,Mobile,Boleto,0.39,0
34,2973.69,2025-05-23 15:31:50.625354,Curitiba,Mobile,PIX,0.41,0
35,3370.63,2025-06-06 16:31:11.726708,Rio de Janeiro,Mobile,PIX,0.31,0
36,1652.33,2025-05-20 15:04:34.414850,Curitiba,Mobile,Cartão Crédito,0.19,0
37,363.29,2025-04-10 16:59:47.086617,Rio de Janeiro,Mobile,Cartão Crédito,0.13,0
38,102.78,2025-05-27 10:30:53.953136,São Paulo,Mobile,Cartão Crédito,0.2,0
39,1152.75,2025-01-24 00:00:45.832189,Tóquio,Mobile,Cartão Débito,0.46,0
40,580.09,2025-03-16 22:59:50.990164,Curitiba,Tablet,Cartão Débito,0.06,0
41,130.15,2025-04-06 11:12:10.667614,Londres,Mobile,Cartão Débito,0.29,0
42,683.55,2025-04-27 01:50:57.042280,Londres,Tablet,Cartão Crédito,0.36,0
43,34.99,2025-01-30 06:55:33.979135,Nova York,Mobile,Boleto,0.3,0
