valor,score_risco,fraude_real,fraude_predita
823.89,0.38,0,0
468.84,0.15,0,0
181.86,0.29,0,0
169.6,0.22,0,0
2283.31,0.51,1,0
894.71,0.35,0,0
76.66,0.2,0,0
89.39,0.18,0,0
136.38,0.35,0,0
1558.83,0.21,0,0
432.19,0.28,0,0
445.49,0.36,0,0
1258.68,0.39,0,0
2010.39,0.49,0,0
2270.97,0.6,1,1
999.23,0.57,1,0
37.58,0.25,0,0
440.01,0.42,0,0
3503.71,0.48,0,1
98.36,0.19,0,0
1011.73,0.12,0,0
2805.09,0.54,1,0
160.95,0.24,0,0
1152.75,0.46,0,0
4657.0,0.65,1,1
319.39,0.31,0,0
608.18,0.54,1,0
346.93,0.23,0,0
685.91,0.42,0,0
472.35,0.39,0,0
3313.74,0.64,1,1
1000.39,0.18,0,0
950.4,0.16,0,0
125.75,0.22,0,0
1003.49,0.38,0,0
133.15,0.12,0,0
1537.94,0.22,0,0
106.61,0.32,0,0
734.31,0.25,0,0
2357.58,0.47,0,0
3489.06,0.28,0,1
1661.33,0.44,0,0
469.8,0.28,0,0
95.64,0.17,0,0
1014.54,0.3,0,0
1089.16,0.34,0,0
194.93,0.06,0,0
120.44,0.19,0,0
1698.66,0.26,0,0
1676.12,0.23,0,0
128.56,0.27,0,0
1316.75,0.1,0,0
286.74,0.18,0,0
1530.87,0.24,0,0
315.73,0.46,0,0
460.31,0.19,0,0
315.85,0.19,0,0
1844.08,0.51,1,0
98.7,0.15,0,0
282.31,0.24,0,0
3567.8,0.34,0,1
1873.74,0.43,0,0
191.6,0.29,0,0
1941.35,0.21,0,0
46.27,0.33,0,0
1131.85,0.42,0,0
329.58,0.32,0,0
557.81,0.38,0,0
603.83,0.23,0,0
31.68,0.33,0,0
451.11,0.3,0,0
73.85,0.27,0,0
2252.15,0.3,0,0
726.29,0.19,0,0
329.8,0.03,0,0
1596.01,0.16,0,0
483.11,0.36,0,0
203.98,0.39,0,0
1465.28,0.15,0,0
1036.97,0.25,0,0
832.72,0.45,0,0
3664.96,0.57,1,1
743.93,0.19,0,0
1699.48,0.47,0,0
1351.39,0.29,0,0
1428.07,0.22,0,0
186.96,0.28,0,0
1640.94,0.43,0,0
76.93,0.25,0,0
1192.87,0.47,0,0
568.9,0.24,0,0
1036.12,0.22,0,0
1113.83,0.35,0,0
398.62,0.38,0,0
117.24,0.33,0,0
126.49,0.37,0,0
175.32,0.05,0,0
304.17,0.24,0,0
620.89,0.27,0,0
37.37,0.1,0,0
1911.77,0.24,0,0
1863.53,0.16,0,0
1954.84,0.57,1,0
777.91,0.09,0,0
745.89,0.35,0,0
991.4,0.43,0,0
77.48,0.28,0,0
1650.89,0.57,1,0
36.6,0.5,1,0
428.1,0.06,0,0
2381.27,0.38,0,0
299.46,0.19,0,0
608.93,0.39,0,0
237.56,0.21,0,0
507.78,0.28,0,0
678.29,0.53,1,0
852.0,0.23,0,0
14.65,0.19,0,0
2314.23,0.32,0,0
740.38,0.39,0,0
10.9,0.32,0,0
127.68,0.48,0,0
580.09,0.06,0,0
75.55,0.43,0,0
175.81,0.06,0,0
810.65,0.51,1,0
2723.68,0.36,0,0
285.67,0.3,0,0
313.67,0.04,0,0
1212.29,0.2,0,0
11.06,0.06,0,0
1608.71,0.44,0,0
290.94,0.25,0,0
1228.4,0.3,0,0
256.82,0.05,0,0
882.44,0.07,0,0
1479.48,0.25,0,0
697.55,0.13,0,0
211.57,0.24,0,0
535.5,0.07,0,0
1685.1,0.47,0,0
734.61,0.41,0,0
473.66,0.07,0,0
1186.45,0.11,0,0
229.59,0.26,0,0
1657.37,0.44,0,0
290.06,0.11,0,0
863.41,0.36,0,0
25.71,0.4,0,0
1399.9,0.37,0,0
2751.29,0.42,0,0
46.28,0.1,0,0
1376.23,0.42,0,0
200.2,0.36,0,0
858.7,0.24,0,0
40.11,0.23,0,0
196.68,0.1,0,0
891.4,0.34,0,0
326.63,0.1,0,0
1307.88,0.13,0,0
1207.21,0.19,0,0
2896.17,0.28,0,0
1580.0,0.31,0,0
983.12,0.44,0,0
320.28,0.03,0,0
506.31,0.36,0,0
363.29,0.13,0,0
69.43,0.32,0,0
506.14,0.3,0,0
1079.39,0.29,0,0
362.75,0.06,0,0
2243.3,0.23,0,0
1249.49,0.29,0,0
484.33,0.23,0,0
405.71,0.49,0,0
154.31,0.25,0,0
840.04,0.24,0,0
499.39,0.29,0,0
407.83,0.23,0,0
259.81,0.33,0,0
96.05,0.16,0,0
780.09,0.28,0,0
86.43,0.35,0,0
3612.31,0.44,0,1
552.03,0.07,0,0
4364.28,0.7,1,1
1249.13,0.2,0,0
2965.27,0.5,1,1
1177.32,0.23,0,0
26.72,0.12,0,0
968.4,0.46,0,0
2255.77,0.31,0,0
526.64,0.16,0,0
3287.38,0.56,1,1
137.98,0.14,0,0
429.04,0.4,0,0
1293.6,0.4,0,0
2302.77,0.56,1,0
2557.47,0.2,0,1
1775.61,0.41,0,0
